"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type"
"Journal Article","Yagasaki T,Matsumoto M,Andoh Y,Okazaki S,Tanaka H","Dissociation of methane hydrate in aqueous NaCl solutions","J. Phys. Chem. B","The journal of physical chemistry. B","2014","118","40","11797-11804","","田中さん業績集;Matsumoto","","2014-10-09","","1520-6106","1520-5207","http://dx.doi.org/10.1021/jp507978u;https://www.ncbi.nlm.nih.gov/pubmed/25237735;https://doi.org/10.1021/jp507978u;https://scholar.google.ca/scholar?cluster=18001862216163524458&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/jp507978u","25237735","","Molecular dynamics simulations of the dissociation of methane hydrate in aqueous NaCl solutions are performed. It is shown that the dissociation of the hydrate is accelerated by the formation of methane bubbles both in NaCl solutions and in pure water. We find two significant effects on the kinetics of the hydrate dissociation by NaCl. One is slowing down in an early stage before bubble formation, and another is swift bubble formation that enhances the dissociation. These effects arise from the low solubility of methane in NaCl solution, which gives rise to a nonuniform spatial distribution of solvated methane in the aqueous phase. We also demonstrate that bubbles form near the hydrate interface in dense NaCl solutions and that the hydrate dissociation proceeds inhomogeneously due to the bubbles.","","","Department of Chemistry, Faculty of Science, Okayama University , Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Matsumoto M,Himoto K,Tanaka H","Spin-One Ising Model for Ice VII–Plastic Ice Phase Transitions","J. Phys. Chem. B","The journal of physical chemistry. B","2014","118","47","13387-13392","","田中さん業績集;Matsumoto","American Chemical Society","2014-11-26","","1520-6106","","https://doi.org/10.1021/jp5049502;http://dx.doi.org/10.1021/jp5049502;https://pubs.acs.org/doi/abs/10.1021/jp5049502;https://scholar.google.ca/scholar?cluster=15291482446875708614&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/jp5049502?t=","10.1021/jp5049502","","","We propose a spin model compatible with ice VII–plastic ice phase transitions and critical phenomena discovered recently by computer simulations. The Blume–Capel spin-1 Ising model is extended in order to describe the entropic stabilization effect in the plastic ice phase. The model shares the same set of tricritical exponents with simulation, indicating that they are of the same universality class.","","","","",""
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Spontaneous liquid-liquid phase separation of water","Phys. Rev. E Stat. Nonlin. Soft Matter Phys.","Physical review. E, Statistical, nonlinear, and soft matter physics","2014","89","2","020301","","田中さん業績集;Matsumoto","","2014-02","","1539-3755","1550-2376","http://dx.doi.org/10.1103/PhysRevE.89.020301;https://www.ncbi.nlm.nih.gov/pubmed/25353404;https://scholar.google.ca/scholar?cluster=3564345699019705219&hl=en&as_sdt=0,5&sciodt=0,5","10.1103/PhysRevE.89.020301","25353404","","We report a molecular dynamics simulation demonstrating a fast spontaneous liquid-liquid phase separation of water and a subsequent slow crystallization to ice. It is found that supercooled water separates rapidly into low- and high-density domains so as to reduce the surface energy in the rectangular simulation cell at certain thermodynamic states. The liquid-liquid phase separation, which is about two orders of magnitude faster than the crystallization, suggests a possibility to observe this phenomenon experimentally.","","","Department of Chemistry, Faculty of Science, Okayama University, 3-1-1 Tsushima-naka, Kitaku, Okayama, 700-8530, Japan.","en","Research Article"
"Journal Article","Yagasaki T,Matsumoto M,Andoh Y,Okazaki S,Tanaka H","Effect of bubble formation on the dissociation of methane hydrate in water: a molecular dynamics study","J. Phys. Chem. B","The journal of physical chemistry. B","2014","118","7","1900-1906","","田中さん業績集;Matsumoto","","2014-02-20","","1520-6106","1520-5207","http://dx.doi.org/10.1021/jp412692d;https://www.ncbi.nlm.nih.gov/pubmed/24471937;https://doi.org/10.1021/jp412692d;https://scholar.google.ca/scholar?cluster=4906857111360026612&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/jp412692d","24471937","","We investigate the dissociation of methane hydrate in liquid water using molecular dynamics simulations. As dissociation of the hydrate proceeds, methane molecules are released into the aqueous phase and eventually they form bubbles. It is shown that this bubble formation, which causes change in the methane concentration in the aqueous phase, significantly affects the dissociation kinetics of methane hydrate. A large system size employed in this study makes it possible to analyze the effects of the change in the methane concentration and the formation of bubbles on the dissociation kinetics in detail. It is found that the dissociation rate decreases with time until the bubble formation and then it turns to increase. It is also demonstrated that methane hydrate can exist as a metastable superheated solid if there exists no bubble.","","","Department of Chemistry, Faculty of Science, Okayama University , Okayama, 700-8530, Japan.","en","Research Article"
"Journal Article","Nakayama T,Matsumoto M,Tanaka H","On the thermodynamic stability of hydrogen hydrates in the presence of promoter molecules","AIP Conf. Proc.","AIP conference proceedings","2013","1568","1","46-52","","Matsumoto;田中さん業績集","American Institute of Physics","2013-12-10","","0094-243X","","https://aip.scitation.org/doi/abs/10.1063/1.4848090;http://dx.doi.org/10.1063/1.4848090;https://scholar.google.ca/scholar?cluster=12029149943950105335&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.4848090","","","Cage occupancies of hydrogen molecules in a clathrate hydrate have been examined by means of semi-grand canonical Monte Carlo simulations where hydrogen molecules enter into or leave from it in the presence of promoter species. This kind of simulation allows to evaluate the thermodynamic stability via the chemical potential of water at a given temperature and pressure. In order to make a better estimation of the chemical potential, we adopt a different standard state from the corresponding empty one. It is revealed that the present method is indeed effective to minimize errors associated with the numerical simulations.","","","","",""
"Journal Article","Matsumoto M,Tanaka H,Nakanishi K","Acetonitrile pair formation in aqueous solution","J. Chem. Phys.","The Journal of chemical physics","1993","99","9","6935-6940","","田中さん業績集;Matsumoto","American Institute of Physics","1993-11-01","","0021-9606","","https://doi.org/10.1063/1.465838;http://dx.doi.org/10.1063/1.465838;https://aip.scitation.org/doi/abs/10.1063/1.465838;https://scholar.google.ca/scholar?cluster=2979304193750651077&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.465838","","","Extended reference interaction site model (RISM) theoretical calculations and molecular dynamics simulation have been carried out for dilute aqueous solution of acetonitrile. Potential of mean force between two solute molecules was calculated. Two solute molecules tend to associate with each other by an attractive interaction between two negatively charged nitrogen atoms. It is found that ??bifurcated hydrogen bonds?? between a hydrogen atom on a water molecule and nitrogen atoms on acetonitrile molecules play an important role in the solute?solute interaction.","","","","",""
"Journal Article","Koga K,Gao GT,Tanaka H,Zeng XC","Formation of ordered ice nanotubes inside carbon nanotubes","Nature","Nature","2001","412","6849","802-805","","田中さん業績集","","2001-08-23","","0028-0836","","http://dx.doi.org/10.1038/35090532;https://www.ncbi.nlm.nih.gov/pubmed/11518961;https://doi.org/10.1038/35090532;https://scholar.google.ca/scholar?cluster=10521865552856030810&hl=en&as_sdt=0,5&sciodt=0,5;https://www.nature.com/articles/35090532.pdf","10.1038/35090532","11518961","","Following their discovery, carbon nanotubes have attracted interest not only for their unusual electrical and mechanical properties, but also because their hollow interior can serve as a nanometre-sized capillary, mould or template in material fabrication. The ability to encapsulate a material in a nanotube also offers new possibilities for investigating dimensionally confined phase transitions. Particularly intriguing is the conjecture that matter within the narrow confines of a carbon nanotube might exhibit a solid-liquid critical point beyond which the distinction between solid and liquid phases disappears. This unusual feature, which cannot occur in bulk material, would allow for the direct and continuous transformation of liquid matter into a solid. Here we report simulations of the behaviour of water encapsulated in carbon nanotubes that suggest the existence of a variety of new ice phases not seen in bulk ice, and of a solid-liquid critical point. Using carbon nanotubes with diameters ranging from 1.1 nm to 1.4 nm and applied axial pressures of 50 MPa to 500 MPa, we find that water can exhibit a first-order freezing transition to hexagonal and heptagonal ice nanotubes, and a continuous phase transformation into solid-like square or pentagonal ice nanotubes.","","","Department of Chemistry, Fukuoka University of Education, Fukuoka 811-4192, Japan. kenkoga@fukuoka-edu.ac.jp","en","Research Article"
"Journal Article","Ohmine I,Tanaka H","Fluctuation, relaxations, and hydration in liquid water. Hydrogen-bond rearrangement dynamics","Chem. Rev.","Chemical reviews","1993","93","7","2545-2566","","田中さん業績集","American Chemical Society","1993-11-01","","0009-2665","","https://doi.org/10.1021/cr00023a011;http://dx.doi.org/10.1021/cr00023a011;https://pubs.acs.org/doi/pdf/10.1021/cr00023a011;https://scholar.google.ca/scholar?cluster=11181994581597566174&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/cr00023a011?t=","10.1021/cr00023a011","","","Water is the most ubiquitous substance on Earth, and it is known to have anomalous macroscopic and microscopic properties. 1'2 A decrease of viscosity with pressure, a large heat capacity and surface tension, density maximum at 4 C, and an increase of rotational …","","","","",""
"Journal Article","Koga K,Tanaka H,Zeng XC","First-order transition in confined water between high-density liquid and low-density amorphous phases","Nature","Nature","2000","408","6812","564-567","","田中さん業績集","","2000-11-30","","0028-0836","","http://dx.doi.org/10.1038/35046035;https://www.ncbi.nlm.nih.gov/pubmed/11117739;https://doi.org/10.1038/35046035;https://scholar.google.ca/scholar?cluster=9479849126357937779&hl=en&as_sdt=0,5&sciodt=0,5","10.1038/35046035","11117739","","Supercooled water and amorphous ice have a rich metastable phase behaviour. In addition to transitions between high- and low-density amorphous solids, and between high- and low-density liquids, a fragile-to-strong liquid transition has recently been proposed, and supported by evidence from the behaviour of deeply supercooled bilayer water confined in hydrophilic slit pores. Here we report evidence from molecular dynamics simulations for another type of first-order phase transition--a liquid-to-bilayer amorphous transition--above the freezing temperature of bulk water at atmospheric pressure. This transition occurs only when water is confined in a hydrophobic slit pore with a width of less than one nanometre. On cooling, the confined water, which has an imperfect random hydrogen-bonded network, transforms into a bilayer amorphous phase with a perfect network (owing to the formation of various hydrogen-bonded polygons) but no long-range order. The transition shares some characteristics with those observed in tetrahedrally coordinated substances such as liquid silicon, liquid carbon and liquid phosphorus.","","","Department of Chemistry, Fukuoka University of Education, Japan. kenkoga@fukuoka-edu.ac.jp","en","Research Article"
"Journal Article","Takaiwa D,Hatano I,Koga K,Tanaka H","Phase diagram of water in carbon nanotubes","Proc. Natl. Acad. Sci. U. S. A.","Proceedings of the National Academy of Sciences of the United States of America","2008","105","1","39-43","","田中さん業績集","","2008-01-08","","0027-8424","1091-6490","http://dx.doi.org/10.1073/pnas.0707917105;https://www.ncbi.nlm.nih.gov/pubmed/18162549;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2224223;http://www.pnas.org/lookup/pmidlookup?view=long&pmid=18162549;http://www.pnas.org/cgi/pmidlookup?view=long&pmid=18162549;https://scholar.google.ca/scholar?cluster=15516902892615376540&hl=en&as_sdt=0,5&sciodt=0,5","10.1073/pnas.0707917105","18162549","PMC2224223","A phase diagram of water in single-walled carbon nanotubes at atmospheric pressure is proposed, which summarizes ice structures and their melting points as a function of the tube diameter up to 1.7 nm. The investigation is based on extensive molecular dynamics simulations over numerous thermodynamic states on the temperature-diameter plane. Spontaneous freezing of water in the simulations and the analysis of ice structures at 0 K suggest that there exist at least nine ice phases in the cylindrical space, including those reported by x-ray diffraction studies and those unreported by simulation or experiment. Each ice has a structure that maximizes the number of hydrogen bonds under the cylindrical confinement. The results show that the melting curve has many local maxima, each corresponding to the highest melting point for each ice form. The global maximum in the melting curve is located at approximately 11 A, where water freezes in a square ice nanotube.","","","Department of Chemistry, Faculty of Science, Okayama University, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Ohmine I,Tanaka H,Wolynes PG","Large local energy fluctuations in water. II. Cooperative motions and fluctuations","J. Chem. Phys.","The Journal of chemical physics","1988","89","9","5852-5860","","田中さん業績集","American Institute of Physics","1988-11-01","","0021-9606","","https://doi.org/10.1063/1.455536;http://dx.doi.org/10.1063/1.455536;https://aip.scitation.org/doi/abs/10.1063/1.455536;https://scholar.google.ca/scholar?cluster=15574848507840277991&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.455536","","","Large local energy fluctuations in liquid water and their physical origin are investigated by using classical molecular dynamics (MD) calculation and quenching techniques. Performing a trajectory calculation of 100 ps, it is found that large rotational motions of individual water molecules, which are always associated with potential energy destabilization of 10?20 kcal/mol, occur once in about 10 ps. The stabilization and destabilization of the individual water molecules are induced by cooperative motions. In order to analyze these cooperative motions in the liquid water, the water structures are quenched to their local minima (called the inherent structures). Comparing the inherent structures successively visited by the system, it is found that collective motions of about 10?40 molecules localized in space occur in unstable regions. The potential energy fluctuation of an individual molecule can reach up to 15 kcal/mol even in the inherent structures. The strong potential energy correlation among neighboring molecules indicates these cooperative motions cause the ??flip?flop???type energy exchanges; as a molecule is stabilized, another is to be unstabilized and vice versa. A flip?flop motion does not involve a (large) energy barrier but causes large energy fluctuations of the individual molecules. A large portion of potential energy fluctuations of the individual water molecules is accounted for as the superposition of fluctuations in the inherent structures and those in the normal modes build upon these structures.","","","","",""
"Journal Article","Tamai Y,Tanaka H,Nakanishi K","Molecular Simulation of Permeation of Small Penetrants through Membranes. 1. Diffusion Coefficients","Macromolecules","Macromolecules","1994","27","16","4498-4508","","田中さん業績集","American Chemical Society","1994-08-01","","0024-9297","","https://doi.org/10.1021/ma00094a011;http://dx.doi.org/10.1021/ma00094a011;https://pubs.acs.org/doi/pdf/10.1021/ma00094a011;https://scholar.google.ca/scholar?cluster=16857467921096650448&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/ma00094a011?t=","10.1021/ma00094a011","","","Molecular dynamics simulations have been carried out in order to examine the mechanism of diffusion of small penetrants in amorphous polymermembranes. Diffusion processes of methane, water, and ethanol in poly (dimethylsiloxane)(PDMS) and in polyethylene (PE) …","","","","",""
"Journal Article","Tamai Y,Tanaka H,Nakanishi K","Molecular dynamics study of Polymer−Water interaction in hydrogels. 2. Hydrogen-bond dynamics","Macromolecules","Macromolecules","1996","29","21","6761-6769","","田中さん業績集","American Chemical Society (ACS)","1996-01","","0024-9297","1520-5835","https://pubs.acs.org/doi/10.1021/ma960961r;http://dx.doi.org/10.1021/ma960961r;https://pubs.acs.org/doi/abs/10.1021/ma960961r;https://scholar.google.ca/scholar?cluster=2428903616133297911&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/ma960961r?t=","10.1021/ma960961r","","","Molecular dynamics simulations have been performed for hydrogel models of poly (vinyl alcohol)(PVA), poly (vinyl methyl ether)(PVME), and poly (N-isopropylacrylamide)(PNiPAM). The dynamics of hydrogen bonds and the translational and rotational motions of water …","","","","en",""
"Journal Article","Tanaka H,Ohmine I","Large local energy fluctuations in water","J. Chem. Phys.","The Journal of chemical physics","1987","87","10","6128-6139","","田中さん業績集","American Institute of Physics","1987-11-15","","0021-9606","","https://doi.org/10.1063/1.453487;http://dx.doi.org/10.1063/1.453487;https://aip.scitation.org/doi/abs/10.1063/1.453487;https://scholar.google.ca/scholar?cluster=4509900049066140173&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.453487","","","A detailed analysis is made for the dynamical behavior of an individual water molecule in liquid water by using a classical molecular dynamics (MD) calculation. It is found that there exist very large potential energy fluctuations in water; a single water molecule can exhibit a fluctuation of the order of 10?20 kcal/mol. These potential energy fluctuations can be classified into two categories; the fast component (10?14?10?13 s) associated with librational motions of water molecules and the slow component (10?12?10?11 s) associated with water binding structure changes. Both amplitudes can be reached up to 10 kcal/mol. Due to strong Coulomb (dipole?dipole) interaction, small mutual geometrical changes, caused by the libration motions, induce large fast potential energy fluctuations. Due to large cohesion energy of the hydrogen bond and the nature of the water binding structure, there exist many water pair interactions which are unattactive or even repulsive; the water molecule potential (binding) energy distribution is inhomogeneous in space. This inhomogeneity alters as the water structure changes. Each water molecule then makes a transition from a stable binding to an unstable one with surrounding molecules and vice versa, inducing large potential energy changes in the picosecond order. A detailed analysis is made concerning how the hydrogen bonding pattern changes with water molecular motions. Significance of the existence of large water potential energy fluctuations on chemical processes is discussed.","","","","",""
"Journal Article","Bai J,Zeng XC,Tanaka H,Zeng JY","Metallic single-walled silicon nanotubes","Proc. Natl. Acad. Sci. U. S. A.","Proceedings of the National Academy of Sciences of the United States of America","2004","101","9","2664-2668","","田中さん業績集","","2004-03-02","","0027-8424","","http://dx.doi.org/10.1073/pnas.0308467101;https://www.ncbi.nlm.nih.gov/pubmed/14981266;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC365678;http://www.pnas.org/cgi/pmidlookup?view=long&pmid=14981266;https://scholar.google.ca/scholar?cluster=14442676613346395713&hl=en&as_sdt=0,5&sciodt=0,5","10.1073/pnas.0308467101","14981266","PMC365678","Atomistic computer-simulation evidences are presented for the possible existence of one-dimensional silicon nanostructures: the square, pentagonal, and hexagonal single-walled silicon nanotubes (SWSNTs). The local geometric structure of the SWSNTs differs from the local tetrahedral structure of cubic diamond silicon, although the coordination number of atoms of the SWSNTs is still fourfold. Ab initio calculations show that the SWSNTs are locally stable in vacuum and have zero band gap, suggesting that the SWSNTs are possibly metals rather than wide-gap semiconductors.","","","Department of Chemistry, University of Nebraska, Lincoln, NE 68588, USA.","en","Research Article"
"Journal Article","Koga K,Tanaka H","Phase diagram of water between hydrophobic surfaces","J. Chem. Phys.","The Journal of chemical physics","2005","122","10","104711","","田中さん業績集","","2005-03-08","","0021-9606","","http://dx.doi.org/10.1063/1.1861879;https://www.ncbi.nlm.nih.gov/pubmed/15836349;https://doi.org/10.1063/1.1861879;https://scholar.google.ca/scholar?cluster=10522282780392408832&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.1861879","15836349","","Molecular dynamics simulations demonstrate that there are at least two classes of quasi-two-dimensional solid water into which liquid water confined between hydrophobic surfaces freezes spontaneously and whose hydrogen-bond networks are as fully connected as those of bulk ice. One of them is the monolayer ice and the other is the bilayer solid which takes either a crystalline or an amorphous form. Here we present the phase transformations among liquid, bilayer amorphous (or crystalline) ice, and monolayer ice phases at various thermodynamic conditions, then determine curves of melting, freezing, and solid-solid structural change on the isostress planes where temperature and intersurface distance are variable, and finally we propose a phase diagram of the confined water in the temperature-pressure-distance space.","","","Department of Chemistry, Okayama University, Okayama 700-8530, Japan. koga@cc.okayama-u.ac.jp","en","Research Article"
"Journal Article","Tamai Y,Tanaka H,Nakanishi K","Molecular Simulation of Permeation of Small Penetrants through Membranes. 2. Solubilities","Macromolecules","Macromolecules","1995","28","7","2544-2554","","田中さん業績集","American Chemical Society","1995-03-01","","0024-9297","","https://doi.org/10.1021/ma00111a058;http://dx.doi.org/10.1021/ma00111a058;https://pubs.acs.org/doi/pdf/10.1021/ma00111a058;https://scholar.google.ca/scholar?cluster=14270072157088333473&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/ma00111a058?t=","10.1021/ma00111a058","","","The excess chemical potentials of methane, water, and ethanol in poly (dimethylsiloxane)( PDMS) and polyethylene (PE) were calculated by the Widom method. The excess chemical potentials of water and ethanol in aqueous ethanol solutions (0, 50, 100 wt%) were also …","","","","",""
"Journal Article","Kvamme B,Tanaka H","Thermodynamic Stability of Hydrates for Ethane, Ethylene, and Carbon Dioxide","J. Phys. Chem.","The Journal of physical chemistry","1995","99","18","7114-7119","","田中さん業績集","American Chemical Society","1995-05-01","","0022-3654","","https://doi.org/10.1021/j100018a052;http://dx.doi.org/10.1021/j100018a052;https://pubs.acs.org/doi/pdf/10.1021/j100018a052;https://scholar.google.ca/scholar?cluster=13798335640186116956&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/j100018a052?t=","10.1021/j100018a052","","","An extension of the theory of van der Waals and Platteeuw was recently proposed by Tanakaand co-workers. In this work, we extend these studies to apolar spherical models of ethylene, ethane, and carbon dioxide at different temperatures in the region of experimental …","","","","",""
"Journal Article","Nakanishi K,Okazaki S,Ikari K,Higuchi T,Tanaka H","Free energy of mixing, phase stability, and local composition in Lennard‐Jones liquid mixtures","J. Chem. Phys.","The Journal of chemical physics","1982","76","1","629-636","","田中さん業績集","American Institute of Physics","1982-01-01","","0021-9606","","https://doi.org/10.1063/1.442715;http://dx.doi.org/10.1063/1.442715;https://aip.scitation.org/doi/abs/10.1063/1.442715;https://scholar.google.ca/scholar?cluster=16088339161169495927&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.442715","","","By the use of umbrella?sampling technique in the Monte Carlo method proposed by Torrie and Valleau, reliable data have been established for the Helmoholtz free energy of mixing in some selected models of Lennard?Jones liquid mixtures. The variational method in perturbation theory is found to account for these Monte Carlo data. Validity of some representative semiempirical theories is discussed and it is found that none of them can reproduce the present Monte Carlo results reasonably well. Finally the phase stability of the present models is discussed in terms of both the free energy of mixing and local composition values recently obtained from our molecular dynamics calculations.","","","","",""
"Journal Article","Koga K,Gao GT,Tanaka H,Zeng XC","How does water freeze inside carbon nanotubes?","Physica A: Statistical Mechanics and its Applications","","2002","314","1","462-469","","田中さん業績集;Koga","Elsevier","2002-11-01","","0378-4371","","http://www.sciencedirect.com/science/article/pii/S0378437102010749;http://dx.doi.org/10.1016/S0378-4371(02)01074-9;https://www.sciencedirect.com/science/article/pii/S0378437102010749;https://scholar.google.ca/scholar?cluster=2149600305185637592&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/S0378-4371(02)01074-9","","","Phase behavior of quasi-one-dimensional water confined inside a carbon nanotube is studied in the thermodynamic space of temperature, pressure, and diameter of the cylindrical container. Four kinds of solid-like ordered structures—ice nanotubes—form spontaneously from liquid-like disordered phases at low temperatures. In the model system that comprises of TIP4P water molecules interacting with each other via short-range Lennard–Jones and long-range Coulomb site–site potentials under a periodic boundary condition in the axial direction, the phase change occurs either discontinuously or continuously depending on the path in the thermodynamic space. That the isotherms for a given diameter are found to be similar to those around the liquid–gas critical point of fluids suggests existence of a phase boundary terminated by a critical point. The apparently-complex phase behavior is accounted for by noting that the phase boundaries are layered surfaces in the three-dimensional thermodynamic space and some of the surfaces are terminated by critical lines.","Confined water; Carbon nanotube; Phase behavior","","","",""
"Journal Article","Tanaka H,Ohmine I","Potential energy surfaces for water dynamics: Reaction coordinates, transition states, and normal mode analyses","J. Chem. Phys.","The Journal of chemical physics","1989","91","10","6318-6327","","田中さん業績集","American Institute of Physics","1989-11-15","","0021-9606","","https://doi.org/10.1063/1.457399;http://dx.doi.org/10.1063/1.457399;https://aip.scitation.org/doi/abs/10.1063/1.457399;https://scholar.google.ca/scholar?cluster=14311401050420669212&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.457399","","","Dynamics of water binding structure reorganization is investigated by analyzing the potential energy surfaces involved. The water structures in a trajectory are quenched to their local minima, called the inherent structures. The reaction coordinates, which connect the inherent structures successively visited by the system, are determined. It is found that the energy barrier heights, the transition state energies, along the reaction coordinates are mostly distributed in the range of 0.2?6 kcal/mol. The classification of inherent structures is made to groups of ??overall?inherent structures??; successive inherent structures are most often not so geometrically distinct. It is found that transitions between the overall?inherent structures, involving large collective motions, occur in the subpicosecond time scale. Individual molecular motions in these collective motions are stongly correlated, not yielding large transition energies. The transition state energy sometimes reaches up to 20 kcal/mol, when the system goes through the ridge between deep minima, yielding ballistic dynamical behavior. Temperature dependence of the collective motions is also investigated.","","","","",""
"Journal Article","Koga K,Parra RD,Tanaka H,Zeng XC","Ice nanotube: What does the unit cell look like?","J. Chem. Phys.","The Journal of chemical physics","2000","113","12","5037-5040","","田中さん業績集","American Institute of Physics","2000-09-22","","0021-9606","","https://aip.scitation.org/doi/abs/10.1063/1.1289554;http://dx.doi.org/10.1063/1.1289554;https://scholar.google.ca/scholar?cluster=14709265597497959798&hl=en&as_sdt=0,5&sciodt=0,5;https://aip.scitation.org/doi/pdf/10.1063/1.1289554?t=","10.1063/1.1289554","","","It is discovered that for an n-gonal ice nanotube built from stacking a single type of n-gonal rings of water, the unit cell consists of two stacked n-gonal rings. In one ring the O?H bonds of water molecules line up clockwise whereas in the other ring the O-H bonds line up counterclockwise. Among the n-gonal ice nanotubes examined, the pentagonal or hexagonal ice nanotube appears to be the most stable.","","","","",""
"Journal Article","Tanaka H","Thermodynamic stability and negative thermal expansion of hexagonal and cubic ices","J. Chem. Phys.","The Journal of chemical physics","1998","108","12","4887-4893","","田中さん業績集","American Institute of Physics","1998-03-22","","0021-9606","","https://doi.org/10.1063/1.475897;http://dx.doi.org/10.1063/1.475897;https://aip.scitation.org/doi/abs/10.1063/1.475897;https://scholar.google.ca/scholar?cluster=1555505756468820913&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.475897","","","The free energies of two low pressure ice forms are calculated over a wide range of temperatures in order to explain relative stability and their negative thermal expansivities in the low temperature regime. One-hundred proton-disordered configurations for hexagonal and cubic ices are generated. The Helmholtz free energy is approximated to a sum of the minimum potential energy, the harmonic free energy and the configurational entropy arising from the disordered nature of protons. The Gibbs free energy at a given temperature is minimized with respect to the volume of the system. This enables us to evaluate the thermal expansivity at a fixed temperature and pressure from only intermolecular interaction potentials. The negative thermal expansivity of ices in low temperature is successfully reproduced. This arises mainly from the bending motion of hydrogen bonded molecules.","","","","",""
"Journal Article","Hamada Y,Koga K,Tanaka H","Phase equilibria and interfacial tension of fluids confined in narrow pores","J. Chem. Phys.","The Journal of chemical physics","2007","127","8","084908","","田中さん業績集","","2007-08-28","","0021-9606","","http://dx.doi.org/10.1063/1.2759926;https://www.ncbi.nlm.nih.gov/pubmed/17764295;https://doi.org/10.1063/1.2759926;https://scholar.google.ca/scholar?cluster=1592899774742988939&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.2759926","17764295","","Correlation between phase behaviors of a Lennard-Jones fluid in and outside a pore is examined over wide thermodynamic conditions by grand canonical Monte Carlo simulations. A pressure tensor component of the confined fluid, a variable controllable in simulation but usually uncontrollable in experiment, is related with the pressure of a bulk homogeneous system in equilibrium with the confined system. Effects of the pore dimensionality, size, and attractive potential on the correlations between thermodynamic properties of the confined and bulk systems are clarified. A fluid-wall interfacial tension defined as an excess grand potential is evaluated as a function of the pore size. It is found that the tension decreases linearly with the inverse of the pore diameter or width.","","","Department of Chemistry, Faculty of Science, Okayama University, Japan.","en","Research Article"
"Journal Article","Inoue R,Tanaka H,Nakanishi K","Molecular dynamics simulation study of the anomalous thermal conductivity of clathrate hydrates","J. Chem. Phys.","The Journal of chemical physics","1996","104","23","9569-9577","","田中さん業績集","American Institute of Physics","1996-06-15","","0021-9606","","https://doi.org/10.1063/1.471705;http://dx.doi.org/10.1063/1.471705;https://aip.scitation.org/doi/abs/10.1063/1.471705;https://scholar.google.ca/scholar?cluster=3739813259987854030&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.471705","","","Equilibrium and nonequilibrium molecular dynamics (MD) simulations have been performed in order to account for anomalous thermal conductivity of clathrate hydrates. Evaluated thermal conductivities of clathrate hydrates are lower than those of ice from both types of MD simulations. The evaluated values agree qualitatively with experimental observation. Its anomalous temperature dependence is also reproduced. It is found that those unique properties of clathrate hydrates arise mainly from encaging of guest species and that guest Xe atom even in large cage couples strongly with the host lattice and vibrations relevant to Xe have a large anharmonic contribution. Those modes with large anharmonicity interact with other modes and scatter phonons. This leads to a small thermal conductivity. Increasing temperature changes the ??effective?? potential energy curves of guests in a different way from a the normal crystal. Softening of the modes relevant to guests is suppressed, which is unique in clathrate hydrates reducing anharmonicity of the low frequency modes coupled with guest motions. It is concluded that the most likely mechanism for the anomalies is the resonance scattering model among three accounts proposed so far.","","","","",""
